"SKUID";"DESCRIPTION";"QTY"
"00001436";"Эдам Сырный продукт 50% блок 18кг(Литва)";107.6
"00001437";"Голландский сырный продукт блок 18кг(Литва)";108.05
"00001438";"Маасдам сырный продукт блок 18кг(Литва)";99.72
"00001439";"Грудинка варено-копченая 1,5кг (KREKENAVOS) Литва";3.01
"00001440";"Лилипутас (Liliputas"") 50%полутвердый (Литва)";744
"00001441";"Белведерио ""(Belvederio) 50%полутвердый (Литва)";12
"00000012";"Тильжес вес. 45% (Литва)";744.346
"00000023";"ДЖЮГАС (Dziugas) 40% вес. (Литва)";28219.893
"00000042";"Дваро вес. 45% (Литва)";872.21
"00000044";"Риготино 42% (Литва)";106.594
"00000054";"Вильнюс 48% брус вес.";170.475
"00000055";"Паланга 40% вес.  (Литва)";110.41
"00000059";"Пруссия вес. 45% 6кг (Литва)";5725.675
"00000220";"Российский 50% (Дятлово)";256.465
"00000291";"Вильнюс 45%;48% нарезка 170 г.х14шт.";2817
"00000303";"Тильзитер вес. 50 % (М)(Литва)";85.278
"00000306";"Маасдам  45% Джагибо (Голландия)";165.01
"00000321";"Сырные палочки 200г ""Пик-Ник"" 40% (10шт)";10855
"00000338";"Пруссия фас 180гх6шт 45%";2
"00000363";"Джюгас твердый п/ж 40% фас.250гх10шт(Литва)";47454
"00000383";"Сваля 45% фас. 250г.(36)";48320
"00000463";"Пошехонский 45% (Дятлово)";162.975
"00000473";"Российский  (Белебей )50%";3358.03
"00000487";"Каша манная ""Сваля"" 6% с земляникой 200г(9шт.)";225
"00000489";"Каша рисовая ""Сваля"" 6% с ванилью 200г(9шт.)";261
"00000490";"Каша рисовая ""Сваля"" 6% с вишней 200г(9шт.)";171
"00000491";"Литовский творог ""Сваля""с ананасом 7% 250г (6)";6
"00000508";"Молоко стерил.""Сваля"" 2.5%  1л (12шт)";868
"00000509";"Молоко стерил.""Сваля"" 3.5% ТБ 1л (12шт)";729
"00000514";"Творог Деревенский 0.5% пл.ван.250г(6шт.)Сваля";366
"00000515";"Творог зернистый с клубникой 7% 150г(12шт)Сваля";499
"00000516";"Творог зернистый с черникой 7% 150г(12шт)Сваля";480
"00000521";"Сметана литовская 30% пл.ст.380г (12шт)Сваля";1032
"00000527";"Творог ""Сваля"" 9% 300гх6шт";354
"00000528";"Творог ""Сваля"" 0,5%  обезж. 300гх6шт";354
"00000529";"Творог ""Сваля"" 15%  300гх5шт";240
