"SKUID";"SKUGROUP";"DESCRIPTION";"MU";"BASEUNITS";"UNITSPERPARCEL";"UNITSPERPALLET";"MANUFACTURER";"COUNTRYOFORIGIN";"TRADITIONALTRADE";"LOCATION";"NETWEIGHT"
"00000789";"";"Шарик глазированный СМОБ клубника 23%";"vnt";1;0;0;" ";" ";1;"SPB";
"00001245";"Группа 6";"Эдам  (М)  50% (Литва)";"kg";1;0;0;"Vilkyskiu";"Литва";1;"SPB";
"00000703";"Группа 4";"Эдам  40% (Белебей)";"kg";1;0;0;"Белебей";" ";1;"SPB";
"00000022";"Группа 1";"Эдам  40% вес. (Литва)";"kg";1;0;0;"ZP";"Литва";1;"SPB";
"00000757";"Группа 4";"Эдам  45% (Ичалки)";"kg";1;0;0;"Россия - Ичалки";" ";1;"SPB";
"00000737";"Группа 4";"Эдам  45% (Калинковичи)";"kg";1;0;0;"Белоруссия";"Беларусь";1;"SPB";
"00000659";"Группа 4";"Эдам  мини 45% Млековита (Польша)";"kg";1;0;0;"Прочие";"Польша";1;"SPB";
"00000584";"Группа 2";"Эдам (Сваля) слайсы 200г (15)";"vnt";1;15;0;"Svalia";"Литва";1;"SPB";0.2
"00000948";"Группа 4";"Эдам 40%  Казевельт (Германия)";"kg";1;0;0;"Прочие";"Германия";1;"SPB";
"00001079";"Группа 4";"Эдам 40% Золото Европы (Германия)";"kg";1;0;0;"Прочие";"Германия";1;"SPB";
"00000464";"Группа 4";"Эдам 40% ФАРМ  (Германия)";"kg";1;0;0;"Прочие";"Германия";1;"SPB";
"00000188";"Группа 4";"Эдам 40% Френдшип";"kg";1;0;0;"Прочие";"Германия";1;"SPB";
"00000876";"";"Эдам 40,45% (Красногорский)";"vnt";1;0;0;" ";" ";1;"SPB";
"00000362";"Группа 4";"Эдам Биберталлер";"kg";1;0;0;"Прочие";"Германия";1;"SPB";
"00000626";"Группа 4";"Эдам бэби шар Кроун (Голландия)";"kg";1;0;0;"Прочие";"Голландия";1;"SPB";
"00000326";"Группа 4";"Эдам Мальфина ( Аргентина)";"kg";1;0;0;"Прочие";"Аргентина";1;"SPB";
"00000562";"Группа 2";"Эдам нарезка слайс  40% 170 г.х14";"vnt";1;14;0;"ZP";"Литва";1;"SPB";0.17
"00000334";"Группа 4";"Эдам Ольденбург 40% Германия";"kg";1;0;0;"Прочие";"Германия";1;"SPB";
"00000259";"Группа 4";"Эдам Ремотти (Аргентина)";"kg";1;0;0;"Прочие";"Аргентина";1;"SPB";
"00001036";"Группа 6";"Эдам Сырный продукт 50% (Литва)";"kg";1;0;0;"Vilkyskiu";"Литва";1;"SPB";
"00000611";"Группа 2";"Эдам фас. 45%   850 г.х10шт.";"kg";1;0;0;"ZP";"Литва";1;"SPB";0.85
"00000547";"";"Эдам фасовка 40% 250 г.х8шт";"vnt";1;0;0;" ";"Литва";1;"SPB";0.25
"00000683";"";"Эстонский 45% Калининград";"vnt";1;0;0;" ";" ";1;"SPB";
"00000676";"Группа 4";"Юбилейный 45% (Ичалки)";"kg";1;0;0;"Россия - Ичалки";" ";1;"SPB";
"00001311";"Группа 1";"Ялаторис  45%  сыр полутвердый с высуш.помидор.и перцем ялапено (Литва)";"kg";1;0;0;"Vilkyskiu";"Литва";1;"SPB";
"00001339";"Группа 3";"Ялаторис  45%  сыр с высуш.помидор.и перцем ялапено 175гх17шт (Литва)";"vnt";1;17;0;"Vilkyskiu";"Литва";1;"SPB";0.175
"00001231";"Группа 3";"Мемель Блуе с плесенью фас.150грх6шт";"vnt";1;0;0;"Vilkyskiu";"Литва";1;"SPB";0.15
"00001216";"Группа 3";"Мемель Блуе с плесенью фас.195грх10шт";"vnt";1;0;0;"Vilkyskiu";"Литва";1;"SPB";195
"00001142";"Группа 3";"Мемель Блуе с плесенью фас.50%100грх8шт";"vnt";1;8;0;"Vilkyskiu";"Литва";1;"SPB";0.1
"00001104";"Группа 4";"Молоко козье фасованное 4,5% 1/0,5л. бут. (Сернур)";"vnt";1;6;0;" ";" ";1;"SPB";0.5
"00001114";"Группа 4";"Молоко питьевое Вамин 2,5% 1л.(12шт.)";"vnt";1;12;0;" ";" ";1;"SPB";
"00000732";"Группа 4";"Молоко сгущ/сах.""Останкинское"" 250гх12шт";"vnt";1;0;0;"Останкино";"Россия";1;"SPB";0.25
"00000731";"Группа 4";"Молоко стерил. ""36 копеек"" 3.2% 0.9лх12шт.";"vnt";1;0;0;"Останкино";"---";1;"SPB";
"00000508";"Группа 2";"Молоко стерил.""Сваля"" 2.5%  1л (12шт)";"vnt";1;12;0;"Svalia-milk";"Литва";1;"SPB";1
"00000509";"Группа 2";"Молоко стерил.""Сваля"" 3.5% ТБ 1л (12шт)";"vnt";1;12;0;"Svalia-milk";"Литва";1;"SPB";1
"00001348";"";"Молоко сухое обезжиренное (Белоруссия)";"kg";1;0;0;" ";" ";1;"SPB";
"00000549";"";"Молочный напиток Мяу 2.3% банан 250гх6 (Литва)";"vnt";1;0;0;" ";"Литва";1;"SPB";0.25
"00000568";"Группа 2";"Молочный напиток Мяу 2.3% банан 450гх6(Литва)";"vnt";1;6;0;"Svalia-milk";"Литва";1;"SPB";0.45
"00000550";"";"Молочный напиток Мяу 2.3% какао 250гх6 (Литва)";"vnt";1;0;0;" ";"Литва";1;"SPB";0.25
"00000569";"Группа 2";"Молочный напиток Мяу 2.3% какао 450гх6(Литва)";"vnt";1;6;0;"Svalia-milk";"Литва";1;"SPB";0.45
"00000551";"";"Молочный напиток Мяу 2.3% клубника 250гх6 (Литва)";"vnt";1;0;0;" ";"Литва";1;"SPB";0.25
"00000570";"Группа 2";"Молочный напиток Мяу 2.3% клубника 450гх6(Литва)";"vnt";1;6;0;"Svalia-milk";"Литва";1;"SPB";0.45
"00001327";"Группа 4";"Монарший сыр 28% жир.";"kg";1;0;0;" ";" ";1;"SPB";
"00000056";"Группа 4";"Монастырский  (Кобрин) 45%";"kg";1;0;0;"Белоруссия";"Беларусь";1;"SPB";
"00000735";"Группа 4";"Монастырский 45-55%  (Белебей)";"kg";1;0;0;"Белебей";" ";1;"SPB";
