"SKUID";"SKUGROUP";"DESCRIPTION";"MU";"BASEUNITS";"UNITSPERPARCEL";"UNITSPERPALLET";"MANUFACTURER";"COUNTRYOFORIGIN";"TRADITIONALTRADE";"LOCATION";"NETWEIGHT"
"00000338";"Группа 2";"Пруссия фас 180г 45%";"vnt";1;0;0;"Vilkyskiu";"Литва";1;"SPB";0.18
"00000307";"";"Пруссия фас. 45%  5 кг.";"vnt";1;0;0;" ";"Литва";1;"SPB";5
"00000939";"";"Пряди застольные Дондуковские копч.";"vnt";1;0;0;" ";"Россия";1;"SPB";0.2
"00001249";"Группа 4";"Радамер порц.350г (Польша)";"vnt";1;0;0;"Прочие";" ";1;"SPB";0.35
"00000727";"";"Рамка номерного знака";"vnt";1;0;0;" ";" ";1;"SPB";
"00000728";"";"Рамка номерного знака с логотипом рельеф.";"vnt";1;0;0;" ";" ";1;"SPB";
"00000119";"";"Рамка с логотипом фирмы";"vnt";1;0;0;" ";" ";1;"SPB";
"00000044";"Группа 3";"Риготино 42% (Литва)";"kg";1;0;0;"ZP";"Литва";1;"SPB";
"00000845";"Группа 4";"Римский  50% (Новопокровский)";"kg";1;0;0;"Новопокровский";" ";1;"SPB";
"00000782";"";"Рожок глазированный СМОБ ваниль 23%";"vnt";1;0;0;" ";" ";1;"SPB";
"00000783";"";"Рожок глазированный СМОБ грецкий орех 23%";"vnt";1;0;0;" ";" ";1;"SPB";
"00001158";"Группа 4";"Сыворотка молочная  подсырная сухая 25кг мешок";"kg";1;0;0;"Белебей";" ";1;"SPB";25
"00001229";"Группа 4";"Сыр Hochland  мягкий с голубой плесенью Bleu 66% 150гх6шт";"vnt";1;0;0;"Импорт Exguisa";" ";1;"SPB";0.15
"00001230";"Группа 4";"Сыр Hochland  мягкий с плесенью Camembert 58% 150гх8шт";"vnt";1;0;0;"Импорт Exguisa";" ";1;"SPB";0.15
"00001228";"Группа 4";"Сыр Hochland с белой плесенью Brie 58% 130гх12шт";"vnt";1;0;0;"Импорт Exguisa";" ";1;"SPB";0.13
"00000416";"";"Сыр молодой натур.Exguisa 32% 125г нарезка (8)";"vnt";1;0;0;" ";"Германия";1;"SPB";
"00000414";"";"Сыр мягкий  Маскарпоне Exguisa 36.5% 250г (6)";"vnt";1;0;0;" ";"Германия";1;"SPB";0.25
"00000373";"";"Сыр мягкий в ломтиках Exguisa 60% 125г х8шт.";"vnt";1;0;0;" ";"Германия";1;"SPB";
"00000040";"Группа 4";"Сыр плавленный ""Голландский"" 45% 80гх30шт(Магис)";"vnt";1;30;0;"Россия прочие";"---";1;"SPB";0.08
"00000038";"Группа 4";"Сыр плавленный ""Городской"" 45% 80гх30шт(Магис)";"vnt";1;0;0;"Россия прочие";"---";1;"SPB";0.08
"00001110";"Группа 4";"Сыр плавленный ""Деревенский"" 200гх24шт(Стародуб)";"vnt";1;24;0;"Сернур";" ";1;"SPB";0.2
"00000864";"Группа 4";"Сыр плавленный ""Костромской""40% 80х30шт (Магис)";"vnt";1;0;0;"Россия прочие";" ";1;"SPB";
"00000866";"Группа 4";"Сыр плавленный ""Орбита""40% 80х30шт (Магис)";"vnt";1;0;0;"Россия прочие";" ";1;"SPB";
"00000865";"Группа 4";"Сыр плавленный ""Российский""45% 85х30шт (Магис)";"vnt";1;0;0;"Россия прочие";" ";1;"SPB";
"00000820";"Группа 2";"Сыр плавленный ""Сваля"" 60% с ветчиной 185гх6";"vnt";1;6;0;"Svalia-milk";"Литва";1;"SPB";0.185
"00000819";"Группа 2";"Сыр плавленный ""Сваля"" 60% с лососем 185гх6";"vnt";1;6;0;"Svalia-milk";"Литва";1;"SPB";0.185
"00000818";"Группа 2";"Сыр плавленный ""Сваля"" 60% сливочный 185гх6";"vnt";1;6;0;"Svalia-milk";"Литва";1;"SPB";0.185
"00001111";"Группа 4";"Сыр плавленный ""Северный"" 200гх24шт(Стародуб)";"vnt";1;24;0;"Сернур";" ";1;"SPB";0.2
"00001109";"Группа 4";"Сыр плавленный ""Шоколадный"" 100гх32шт(Стародуб)";"vnt";1;32;0;"Сернур";" ";1;"SPB";0.1
"00001298";"Группа 2";"Сыр плавленый  колбасный копченый  ""Snack  classic"" 125гх10(Литва)";"vnt";1;0;0;"ZP";"Литва";1;"SPB";0.125
"00001299";"Группа 2";"Сыр плавленый  колбасный копченый  ""Snack  pikant"" 125гх10(Литва)";"vnt";1;0;0;"ZP";"Литва";1;"SPB";0.125
"00000432";"";"Сыр свежий  Exguisa 60% 150г(12)";"vnt";1;0;0;" ";"Германия";1;"SPB";0.15
"00000431";"";"Сыр свежий с лососем Exguisa 60% 150г(12)";"vnt";1;0;0;" ";"Германия";1;"SPB";0.15
"00001232";"Группа 2";"Сыр творожный ""Домашний"" 22% 300г.х10шт(Рокишкио)";"vnt";1;0;0;"Rokiskio-milk";"Литва";1;"SPB";0.3
"00000375";"Группа 4";"Сыр творожный с зеленью  Exguisa 60% 150г (12)";"vnt";1;0;0;"Импорт Exguisa";"Германия";1;"SPB";0.15
"00001316";"Группа 2";"Сырные палочки 100гх10шт""Пик-Ник"" 40%";"vnt";1;10;0;"ZP";"Литва";1;"SPB";0.1
"00000535";"Группа 2";"Сырные палочки 150г ""Пик-Ник"" 40% с ветч.(10шт)";"vnt";1;10;0;"ZP";"Литва";1;"SPB";0.15
"00001325";"";"Сырные палочки 150г ""Пик-Ник"" 40% с ветч.(10шт)";"vnt";1;10;0;" ";"Литва";1;"SPB";0.15
"00001145";"Группа 2";"Сырные палочки 150г ""Пик-Ник"" 40% с ветч.(10шт) А";"vnt";1;10;0;"ZP";"Литва";1;"SPB";0.15
"00000386";"Группа 2";"Сырные палочки 150г ""Пик-Ник"" 40% с перц.(10шт)";"vnt";1;10;0;"ZP";"Литва";1;"SPB";0.15
"00001146";"Группа 2";"Сырные палочки 150г ""Пик-Ник"" 40% с перц.(10шт) А";"vnt";1;10;0;"ZP";"Литва";1;"SPB";0.15
"00000321";"Группа 2";"Сырные палочки 200г ""Пик-Ник"" 40% (10шт)";"vnt";1;10;0;"ZP";"Литва";1;"SPB";0.2
"00001147";"Группа 2";"Сырные палочки 200г ""Пик-Ник"" 45% (10шт) А";"vnt";1;10;0;"ZP";"Литва";1;"SPB";0.2
"00000364";"Группа 2";"Сырные палочки 200г копч.вкуса""Пик-Ник""45% (10шт)";"vnt";1;0;0;"ZP";"Литва";1;"SPB";0.2
"00000325";"Группа 2";"Сырные палочки 75г ""Пик-Ник""бета каратин 40% (20шт)";"vnt";1;20;0;"ZP";"Литва";1;"SPB";0.075
"00001148";"Группа 2";"Сырные палочки 75г""Пик-Ник"" бета каратин 40% (20шт) А";"vnt";1;20;0;"ZP";"Литва";1;"SPB";
"00001194";"Группа 2";"Сырный блинчик ""Гриль ""Пик-Ник"" 40% 125гх8шт";"vnt";1;0;0;"ZP";"Литва";1;"SPB";0.125
"00000850";"Группа 4";"Сырный продукт плавл. колб. ""Деревенский""(Порхов)";"vnt";1;0;0;"Порхов";" ";1;"SPB";
"00000825";"Группа 4";"Сырный продукт плавл. колбасный ""Народный""(Порхов)";"kg";1;0;0;"Порхов";" ";1;"SPB";
"00000828";"Группа 4";"Сырный продукт плавл. колбасный ""Порховский""(Порх)";"kg";1;0;0;"Порхов";" ";1;"SPB";
"00000824";"Группа 4";"Сырный продукт плавл. колбасный ""Солнышко""(Порхов)";"kg";1;0;0;"Порхов";" ";1;"SPB";
"00000769";"";"Сырный продукт плавл.""Алтайский"" 45% 70гх50";"vnt";1;0;0;" ";" ";1;"SPB";0.07
"00000713";"";"Сырный продукт плавл.""Городской"" 45% 70гх50шт";"vnt";1;0;0;" ";"---";1;"SPB";0.07
"00000691";"";"Сырный продукт плавл.""Дружба"" 45% 70гх50шт";"vnt";1;0;0;" ";"---";1;"SPB";0.07
"00000036";"";"Сырный продукт плавл.""Костромской"" 40% 70гх50шт";"vnt";1;0;0;" ";"---";1;"SPB";0.07
"00000037";"";"Сырный продукт плавл.""Российский"" 45% 70гх50шт";"vnt";1;0;0;" ";"---";1;"SPB";0.07
"00001204";"Группа 2";"Сырок твор.глаз.с ванилью  Baltais 38гх24(Латвия)";"vnt";1;24;0;"ТУКУМА ПИЕНС (Латвия)";"Латвия";1;"SPB";0.038
"00001203";"Группа 2";"Сырок твор.глаз.с клубникой Baltais 38гх24(Латвия)";"vnt";1;24;0;"ТУКУМА ПИЕНС (Латвия)";"Латвия";1;"SPB";0.038
"00001202";"Группа 2";"Сырок твор.с яблок/печеньем Baltais 38гх24(Латвия)";"vnt";1;24;0;"ТУКУМА ПИЕНС (Латвия)";"Латвия";1;"SPB";0.038
"00001226";"Группа 2";"Сырок творож.глазир. ревень 19% 40гх20";"vnt";1;0;0;"Vilkyskiu-milk";" ";1;"SPB";0.04
"00001177";"Группа 2";"Сырок творож.глазир. с маком 19% 40гх20";"vnt";1;20;0;"Vilkyskiu-milk";"Литва";1;"SPB";0.04
"00001176";"Группа 2";"Сырок творож.глазир. с облепихой 19% 40гх20";"vnt";1;0;0;"Vilkyskiu-milk";"Литва";1;"SPB";0.04
"00001157";"Группа 2";"Сырок творож.глазир.с черносливом 19% 40гх20";"vnt";1;20;0;"Vilkyskiu-milk";"Литва";1;"SPB";0.04
"00001156";"Группа 2";"Сырок творожный глазир.со вкусом ванили 19% 40гх20";"vnt";1;20;0;"Vilkyskiu-milk";"Литва";1;"SPB";0.04
"00001069";"Группа 2";"Творог ""Домашний"" 9% 200г.х14 (Рокишкио)";"vnt";1;14;0;"Rokiskio-milk";"Литва";1;"SPB";0.2
"00001071";"Группа 2";"Творог ""Домашний"" 9% 500г.х10 (Рокишкио)";"vnt";1;10;0;"Rokiskio-milk";"Литва";1;"SPB";0.5
"00001221";"Группа 2";"Творог ""Классический Литовский""  9% 450гх8шт";"vnt";1;0;0;"Svalia-milk";"Литва";1;"SPB";0.45
"00001220";"Группа 2";"Творог ""Классический Литовский"" 15% 450гх8шт";"vnt";1;8;0;"Svalia-milk";"Литва";1;"SPB";0.45
"00001219";"Группа 2";"Творог ""Классический Литовский""обез. 1.8% 450гх8шт";"vnt";1;0;0;"Svalia-milk";"Литва";1;"SPB";0.45
"00001258";"Группа 2";"Творог ""Рокишкио Тикрас"" 0.5%  400гх10";"vnt";1;10;0;"Rokiskio-milk";"Литва";1;"SPB";0.4
"00001256";"Группа 2";"Творог ""Рокишкио Тикрас"" 5%  200гх14";"vnt";1;14;0;"Rokiskio-milk";"Литва";1;"SPB";0.2
"00001257";"Группа 2";"Творог ""Рокишкио Тикрас"" 5%  400гх10";"vnt";1;10;0;"Rokiskio-milk";"Литва";1;"SPB";0.4
"00001255";"Группа 2";"Творог ""Рокишкио Тикрас"" 9%  200гх14";"vnt";1;14;0;"Rokiskio-milk";"Литва";1;"SPB";0.2
"00001317";"Группа 2";"Творог ""Рокишкио Тикрас"" 9%  300гх12";"vnt";1;12;0;"Rokiskio-milk";"Литва";1;"SPB";0.3
"00001254";"Группа 2";"Творог ""Рокишкио Тикрас"" 9%  400гх10";"vnt";1;10;0;"Rokiskio-milk";"Литва";1;"SPB";0.4
"00001244";"Группа 2";"Творог ""Рокишкио Тикрас"" обезжиренный 200гх14";"vnt";1;14;0;"Rokiskio-milk";"Литва";1;"SPB";0.2
"00000528";"Группа 2";"Творог ""Сваля"" 0,5%  обезж. 300гх6шт";"vnt";1;6;0;"Svalia-milk";"Литва";1;"SPB";0.3
"00000529";"Группа 2";"Творог ""Сваля"" 15%  300гх5шт";"vnt";1;5;0;"Svalia-milk";"Литва";1;"SPB";0.3
"00000527";"Группа 2";"Творог ""Сваля"" 9% 300гх6шт";"vnt";1;6;0;"Svalia-milk";"Литва";1;"SPB";0.3
"00001105";"Группа 4";"Творог 18% из козьего молока 150гх6 (Сернур)";"vnt";1;6;0;" ";" ";1;"SPB";0.15
"00001155";"Группа 2";"Творог 5% 180гх8шт (т.м.Вилькишкю пенине)";"vnt";1;8;0;"Vilkyskiu-milk";"Литва";1;"SPB";0.18
"00000997";"Группа 1";"Лайме Российский 50% мини 2х5кг круг(Литва)";"kg";1;0;0;"Laime";"Литва";1;"SPB";10
"00001050";"Группа 2";"Лайме Российский нарезка 150гх13шт (Литва)";"vnt";1;13;0;"Laime";"Литва";1;"SPB";0.15
"00001247";"Группа 2";"Лайме Сливочный   330гх9шт  (Литва)";"vnt";1;0;0;"Laime";"Литва";1;"SPB";0.33
"00001361";"Группа 1";"Лайме Сливочный  48%м.д.ж. 5кг круг  (Литва)";"kg";1;0;0;"Laime";"Литва";1;"SPB";
"00000975";"Группа 1";"Лайме Сливочный  50% круг  (Литва)";"kg";1;0;0;"Laime";"Литва";1;"SPB";
"00001049";"Группа 2";"Лайме Сливочный  нарезка 150гх13шт  (Литва)";"vnt";1;13;0;"Laime";"Литва";1;"SPB";0.15
"00000976";"Группа 1";"Лайме Сметанковый  50% круг  (Литва)";"kg";1;0;0;"Laime";"Литва";1;"SPB";
"00001246";"Группа 2";"Лайме Сметанковый 330гх9шт(Литва)";"vnt";1;0;0;"Laime";"Литва";1;"SPB";0.33
"00001048";"Группа 2";"Лайме Сметанковый нарезка 150гх13шт(Литва)";"vnt";1;13;0;"Laime";"Литва";1;"SPB";0.15
"00001006";"Группа 2";"Лайме Тильзитер слайс 45% 150г х13шт (Литва)";"vnt";1;13;0;"Laime";"Литва";1;"SPB";0.15
"00001008";"Группа 2";"Лайме Эдам слайс 40% 150г х13шт (Литва)";"vnt";1;13;0;"Laime";"Литва";1;"SPB";0.15
"00000084";"Группа 4";"Ламбер 50%";"kg";1;0;0;"Прочие";"---";1;"SPB";
"00001013";"Группа 4";"Ларец  золотой (Агроресурс)";"kg";1;0;0;"Россия прочие";"Россия";1;"SPB";
"00001012";"Группа 4";"Ларец (Агроресурс)";"kg";1;0;0;"Россия прочие";"Россия";1;"SPB";
"00000649";"Группа 1";"Легенда 45% вес. (Литва)";"kg";1;0;0;"Vilkyskiu";"Литва";1;"SPB";
"00000648";"Группа 3";"Легенда 45% фас.180г (Литва)";"vnt";1;0;0;"Vilkyskiu";"Литва";1;"SPB";0.18
"00000678";"Группа 4";"Легенда 50% из козьего молока (Сернур)";"kg";1;0;0;"Сернур";" ";1;"SPB";
"00000815";"Группа 4";"Легенда 50% из коров. молока (Сернур)";"kg";1;0;0;"Сернур";" ";1;"SPB";
"00000322";"Группа 2";"Литовский вес. 45-50 %";"kg";1;0;0;"Rokiskio";"Литва";1;"SPB";
"00000591";"Группа 2";"Литовский нарезка 200гх16шт.";"vnt";1;0;0;"Rokiskio";"Литва";1;"SPB";0.2
"00000491";"Группа 2";"Литовский творог ""Сваля""с ананасом 7% 250г (6)";"vnt";1;6;0;"Svalia-milk";"Литва";1;"SPB";0.25
"00000517";"Группа 2";"Литовский творог ""Сваля""с изюмом 7% 250г (6)";"vnt";1;6;0;"Svalia-milk";"Литва";1;"SPB";0.25
"00000518";"Группа 2";"Литовский творог с кураг./ пап. 7% 250г(6)Сваля";"vnt";1;6;0;"Svalia-milk";"Литва";1;"SPB";0.25
"00000761";"";"Луковицы, фаршированные свежим сыром 250г";"vnt";1;0;0;" ";" ";1;"SPB";0.25
"00000306";"Группа 4";"Маасдам  45% Джагибо (Голландия)";"kg";1;0;0;"Прочие";"Голландия";1;"SPB";
"00000838";"Группа 4";"Маасдам (Вестленд) 45%";"kg";1;0;0;"Прочие";"Нидерланды";1;"SPB";
"00000616";"Группа 4";"Маасдам (Мариенталь-Голландия))";"kg";1;0;0;"Прочие";"Голландия";1;"SPB";
"00001173";"Группа 4";"Маасдам 45% (Ван де Каас)Нидерланды";"kg";1;0;0;"Прочие";"Нидерланды";1;"SPB";
"00000574";"Группа 4";"Маасдам 45% (Виссер-Каасандель)Нидерланды";"kg";1;0;0;"Прочие";"Нидерланды";1;"SPB";
"00000348";"Группа 4";"Маасдам 45% (Ичалки)";"kg";1;0;0;"Россия - Ичалки";"----";1;"SPB";
"00000575";"Группа 4";"Маасдам 45% (Леердаммер-Казеленд)Нидерланды";"vnt";1;0;0;"Прочие";"Нидерланды";1;"SPB";
"00001091";"Группа 4";"Маасдам 48% Золото Европы (Германия)";"kg";1;0;0;"Прочие";"Германия";1;"SPB";
"00000260";"Группа 6";"Маасдам вес.(Литва)";"kg";1;0;0;"Vilkyskiu";"Литва";1;"SPB";
"00001133";"Группа 6";"Маасдам вес.(М) (Литва)";"kg";1;0;0;"Vilkyskiu";"Литва";1;"SPB";
"00000505";"Группа 4";"Маасдам Казеланд 45% (Германия)";"kg";1;0;0;"Прочие";"Германия";1;"SPB";
"00000308";"Группа 4";"Маасдам Ольденбург 55%(круг)";"vnt";1;0;0;"Прочие";"Германия";1;"SPB";
"00001106";"Группа 6";"Маасдам сырный продукт 47% (Литва)";"kg";1;0;0;"Vilkyskiu";"Литва";1;"SPB";
"00000190";"Группа 4";"Маасдам Френдшип (Германия)";"kg";1;0;0;"Прочие";"Германия";1;"SPB";
"00001152";"Группа 2";"Йогурт с хлебом и курагой 380гх12шт(Латвия)";"vnt";1;12;0;"ТУКУМА ПИЕНС (Латвия)";"Латвия";1;"SPB";0.38
"00001153";"Группа 2";"Йогурт с хлебом и медом 380гх12шт(Латвия)";"vnt";1;12;0;"ТУКУМА ПИЕНС (Латвия)";"Латвия";1;"SPB";0.38
"00001271";"Группа 2";"Йогурт с хлопьями и сушеной клюквой 4,3% 200гх6 (Литва- т.м.Вилькишкю)";"vnt";1;6;0;"Vilkyskiu-milk";"Литва";1;"SPB";0.2
"00001197";"Группа 2";"Йогуртовый напиток Balance классик 100х24Латвия)";"vnt";1;24;0;"ТУКУМА ПИЕНС (Латвия)";"Латвия";1;"SPB";0.1
"00001166";"Группа 2";"Йогуртовый напиток Balance клюква 100х24Латвия)";"vnt";1;24;0;"ТУКУМА ПИЕНС (Латвия)";"Латвия";1;"SPB";0.1
"00001165";"Группа 2";"Йогуртовый напиток Balance облепиха 100х24(Латвия)";"vnt";1;24;0;"ТУКУМА ПИЕНС (Латвия)";"Латвия";1;"SPB";0.1
"00001167";"Группа 2";"Йогуртовый напиток Imunella клубника 330х24Латвия)";"vnt";1;24;0;"ТУКУМА ПИЕНС (Латвия)";"Латвия";1;"SPB";0.33
"00001168";"Группа 2";"Йогуртовый напиток Imunella мульти 330х24Латвия)";"vnt";1;24;0;"ТУКУМА ПИЕНС (Латвия)";"Латвия";1;"SPB";0.33
"00001107";"Группа 4";"Кантали сыр (Беларусь)";"kg";1;0;0;"Белоруссия";" ";1;"SPB";
"00001371";"Группа 4";"Карамболь ""Венгерский с паприкой"" 50% коп.фас 0,3-АКЦИЯ";"kg";1;0;0;"Белебей";" ";1;"SPB";
"00001136";"Группа 4";"Карамболь ""Венгерский с паприкой"" 50% коп.фас. 0,3";"kg";1;0;0;"Белебей";" ";1;"SPB";
"00000926";"Группа 4";"Карамболь ""Венгерский с паприкой"" 50% копч.";"kg";1;0;0;"Белебей";" ";1;"SPB";
"00000927";"Группа 4";"Карамболь ""Душистый тмин"" 45% копч.";"kg";1;0;0;"Белебей";" ";1;"SPB";
"00001183";"Группа 4";"Карамболь ""Душистый тмин"" 45% фас.320г копч.";"kg";1;0;0;"Белебей";" ";1;"SPB";0.32
"00001135";"Группа 4";"Карамболь ""Пряный средизем. "" 50% копч. фас 0,300";"kg";1;0;0;"Белебей";" ";1;"SPB";0.3
"00001372";"Группа 4";"Карамболь ""Пряный средизем. "" 50% копч. фас 0,300-АКЦИЯ";"kg";1;0;0;"Белебей";" ";1;"SPB";
"00000973";"Группа 4";"Карамболь ""Пряный средиземноморский "" 50% копч.";"kg";1;0;0;"Белебей";" ";1;"SPB";
"00000928";"Группа 4";"Карамболь копченый 45%";"kg";1;0;0;"Белебей";" ";1;"SPB";
"00001227";"Группа 2";"Каша гречневая 200гх9шт. 6% ""Сваля""";"vnt";1;9;0;"Svalia-milk";"Литва";1;"SPB";0.2
"00000487";"Группа 2";"Каша манная ""Сваля"" 6% с земляникой 200г(9шт.)";"vnt";1;9;0;"Svalia-milk";"Литва";1;"SPB";0.2
"00001313";"Группа 2";"Каша овсяная ""Сваля"" 6%  200г(9шт.)";"vnt";1;9;0;"Svalia-milk";"Литва";1;"SPB";0.2
"00000488";"Группа 2";"Каша рисовая ""Сваля"" 6% с абрикосом 200г(9шт.)";"vnt";1;9;0;"Svalia-milk";"Литва";1;"SPB";0.2
"00000489";"Группа 2";"Каша рисовая ""Сваля"" 6% с ванилью 200г(9шт.)";"vnt";1;9;0;"Svalia-milk";"Литва";1;"SPB";0.2
"00000490";"Группа 2";"Каша рисовая ""Сваля"" 6% с вишней 200г(9шт.)";"vnt";1;9;0;"Svalia-milk";"Литва";1;"SPB";0.2
"00000849";"Группа 1";"Кенинсберг (Литва)";"kg";1;0;0;"Vilkyskiu";" ";1;"SPB";
"00000067";"";"Кобринский 50% (Кобрин)";"vnt";1;0;0;" ";"Беларусь";1;"SPB";
"00000725";"Группа 4";"Коктейль ""Nesguik"" шок.мол.0,2 лх 27 м.д.жира 2.1%";"vnt";1;27;0;"Останкино";" ";1;"SPB";0.2
"00000724";"Группа 4";"Коктейль ""Nesguik"" шок.мол.стер.1лх12 жира 2.1%";"vnt";1;12;0;"Останкино";" ";1;"SPB";1
"00001205";"Группа 5";"Колбаса  с/в ""Tarybine"" фас.0.195х14шт (SAMSONAS)";"vnt";1;14;0;"Samsonas";"Литва";1;"SPB";0.195
"00000471";"Группа 4";"Голландский 50%(Ичалки)";"kg";1;0;0;"Россия - Ичалки";" ";1;"SPB";
"00001253";"Группа 2";"!Творог ""Рокишкио Тикрас"" 9%  300гх10";"vnt";1;0;0;"Rokiskio-milk";"Литва";1;"SPB";0.3
"00000558";"";"!Творог зернистый натуральный 7%  200г (9шт) Сваля";"vnt";1;0;0;" ";"Литва";1;"SPB";0.2
"00000759";"";"Абрикосы, фаршированные свежим сыром 250г";"vnt";1;0;0;" ";"Германия";1;"SPB";0.25
"00000729";"Группа 4";"Адыгейский 45% (Денмакс)";"kg";1;0;0;"Россия прочие";"---";1;"SPB";
"00000823";"Группа 4";"Адыгейский 45% (Порхов)";"kg";1;0;0;"Порхов";" ";1;"SPB";
"00000284";"Группа 4";"Адыгейский 45% (Стародуб)";"kg";1;0;0;"Россия прочие";"---";1;"SPB";
"00000645";"Группа 4";"Анкор 82% масло 200гх40шт";"vnt";1;40;0;"Прочие";"Новая Зеландия";1;"SPB";0.2
"00000141";"";"Анкор 82% масло 454гх20шт.";"vnt";1;0;0;" ";"Новая Зеландия";1;"SPB";0.454
"00001338";"Группа 1";"Базилис  45%  сыр полутвердый с базиликом (Литва)";"kg";1;0;0;"Vilkyskiu";"Литва";1;"SPB";
"00001310";"Группа 3";"Базилис  45%  сыр полутвердый с базиликом 175гх17шт (Литва)";"vnt";1;17;0;"Vilkyskiu";"Литва";1;"SPB";0.175
"00000016";"";"Балтийос 50%";"vnt";1;0;0;" ";"Литва";1;"SPB";
"00000581";"Группа 2";"Балтия слайсы 200г (15)";"vnt";1;15;0;"Svalia";"Литва";1;"SPB";0.2
"00000586";"Группа 2";"Балтия слайсы 600г (12)";"vnt";1;12;0;"Svalia";"Литва";1;"SPB";0.6
"00000774";"";"Белая Русь  45% (Беловежские сыры)";"vnt";1;0;0;" ";"Беларусь";1;"SPB";
"00000802";"";"Белая Русь 45% (Бабушкина крынка)";"vnt";1;0;0;" ";" ";1;"SPB";
"00000812";"Группа 4";"Белая Русь 45% (Дятлово)";"kg";1;0;0;"Белоруссия";"----";1;"SPB";
"00000679";"";"Белая Русь 45% (Мол.Мир)";"vnt";1;0;0;" ";" ";1;"SPB";
"00000801";"";"Белая Русь 45% (Рогачев)";"vnt";1;0;0;" ";" ";1;"SPB";
"00001354";"";"Майонез ""Золотое зернышко 15% олив.220млх36шт(Дой-Пак)";"vnt";1;36;0;" ";" ";1;"SPB";0.22
"00001355";"";"Майонез ""Золотое зернышко 15% олив.500млх20шт(Дой-Пак)";"vnt";1;20;0;" ";" ";1;"SPB";0.5
"00001356";"";"Майонез ""Золотое зернышко 15% олив.900млх12шт Ведро";"vnt";1;12;0;" ";" ";1;"SPB";0.9
"00001357";"";"Майонез ""Золотое зернышко 15% пров..900млх12шт Ведро";"vnt";1;12;0;" ";" ";1;"SPB";0.9
"00001370";"";"Майонез ""Золотое зернышко"" 15% олив.2.0лх4шт Бидон";"vnt";1;4;0;" ";" ";1;"SPB";
"00001341";"";"Майонез Best U Васаби (220 мл) дой пак доз(36)";"vnt";1;36;0;" ";"---";1;"SPB";0.22
"00001344";"";"Майонез Best U Грибной (220 мл) дой пак доз(36)";"vnt";1;36;0;" ";"---";1;"SPB";0.22
"00001342";"";"Майонез Best U Томато  (220 мл) дой пак доз (36шт)";"vnt";1;36;0;" ";"---";1;"SPB";0.22
"00001343";"";"Майонез Best U Укропный (220 мл) дой пак доз(36шт)";"vnt";1;36;0;" ";"---";1;"SPB";0.22
"00000794";"Группа 4";"Марсенталь Арабеск из коз. молока""45-50%(Сернур)";"kg";1;0;0;"Сернур";" ";1;"SPB";
"00001182";"Группа 4";"Марсенталь Арабеск из коз.молока А 45-50%(Сернур)";"kg";1;0;0;"Сернур";" ";1;"SPB";
"00000793";"Группа 4";"Марсенталь Турне из коров. молока""45-50%(Сернур)";"kg";1;0;0;"Сернур";" ";1;"SPB";
"00001009";"Группа 4";"Масло   Традиционное с/сл 82.5%180гх12шт (Белебей)";"vnt";1;12;0;"Белебей";" ";1;"SPB";0.18
"00000653";"Группа 4";"Масло  82.5%  монолит 25кг Новая Зеландия";"kg";1;25;0;"Прочие";"Новая Зеландия";1;"SPB";
"00001032";"Группа 4";"Масло  Крестьянское 72,5%фас.180гх12шт (Белебей)";"vnt";1;12;0;"Белебей";" ";1;"SPB";0.18
"00000847";"Группа 4";"Масло ""Крестьянское"" с/сл 72.% 20кг (Новопокровск)";"kg";1;20;0;"Новопокровский";" ";1;"SPB";
"00001178";"Группа 2";"Масло ""Сваля"" кисл./слив. 82%,250 гр.х20шт";"vnt";1;20;0;"Svalia-milk";"Литва";1;"SPB";0.25
"00001179";"Группа 2";"Масло ""Сваля"" сл./слив. 82%, 125 гр.х40шт";"vnt";1;40;0;"Svalia-milk";"Литва";1;"SPB";0.125
"00001180";"Группа 2";"Масло ""Сваля"" сл./слив. 82%, 200 гр.";"vnt";1;0;0;"Svalia-milk";"Литва";1;"SPB";0.2
"00001252";"Группа 2";"Масло Rokiskio TIKRAS с/сл 82% 200г х 20шт Литва";"vnt";1;20;0;"Rokiskio-milk";"Литва";1;"SPB";0.2
"00001053";"Группа 2";"Масло Rokiskio Домашнее с/сл 82% 200г х 20шт Литва";"vnt";1;20;0;"Rokiskio-milk";"Литва";1;"SPB";0.2
"00000578";"";"Масло литовское ""Сваля"" 82% 200гх30шт";"vnt";1;0;0;" ";"Литва";1;"SPB";0.2
"00000660";"Группа 4";"Масло с/с 25кг 82.5% (Уругвай)";"kg";1;0;0;"Прочие";"Уругвай";1;"SPB";
"00000953";"Группа 4";"Масло с/сл.несоленое 82% (Бабушкина крынка)";"kg";1;0;0;"Россия прочие";" ";1;"SPB";
"00001022";"Группа 4";"Масло слад.-сливоч. несоленое ""Традиционное"" 82,5% мон.(1/10) Стародуб";"kg";1;0;0;"Россия прочие";"Россия";1;"SPB";
"00001108";"Группа 4";"Масло слив. 82.5% монолит 25кг (Австралия)";"kg";1;25;0;"Прочие";"Австралия";1;"SPB";
"00000874";"";"Мастер 50-55% (Кипринский)";"vnt";1;0;0;" ";" ";1;"SPB";
"00000336";"Группа 1";"Меджитою копч.фас.42%(Литва)";"kg";1;0;0;"Svalia";"Литва";1;"SPB";
"00000841";"Группа 2";"Медитерания творож.продукт 22% (Литва)";"kg";1;0;0;"Luksiu";"Литва";1;"SPB";
