"SKUID";"DESCRIPTION";"NETWEIGHT";"BRUTTOWEIGHT";"UNITSPERPARCEL";"UNITSPERPALLET";"SHELFLIFEPERIOD";"MU";"LOCATION"
"";"Банановый молочный напиток ""МЯУ"" ""СВАЛЯ"" м.д. жира 2,3% 
стерилизованный 250 мл.";0.262;0.281;6;336;90;"ш.";""
"";"Клубничный молочный напиток ""МЯУ"" ""СВАЛЯ"" м.д. жира 2,3%
стерилизованный  250 мл.";0.262;0.281;6;336;90;"ш.";""
"";"Питьевые сливки для кофе ""СВАЛЯ"", стерилизованные, м.д. жира 10% ,150 мл пластиковые бутылки";0.152;0.166;12;268;90;"ш.";""
"";"Сливки для взбивания ""СВАЛЯ"", стерилизованные, м.д. жира 35%, 250 мл пластиковые бутылки";0.25;0.268;12;187;90;"ш.";""
"";"Литовское масло «Сваля» 82%ж.фас. в фольге 125 г.";0.125;0.128;40;150;90;"ш.";""
"";"Литовское масло «Сваля» 82%ж.фас. в фольге 200 г.";0.2;0.203;30;140;90;"ш.";""
"";"Литовское масло «Сваля» 82%ж.фас. в фольге 250 г.";0.25;0.253;20;130;60;"ш.";""
"";"Творог обезжиренный 500г ""Литовская коровка""";0.5;;10;600;28;"ШТ";"SPB"
"";"Творог обезжиренный 200г ""Литовская коровка""";0.2;;14;1400;28;"ШТ";"SPB"
"";"Домашний творог 9% 500г ""Домашний""";0.5;;10;600;28;"ШТ";"SPB"
"";"Домашний творог 9% 200г ""Домашний""";0.2;;14;1400;28;"ШТ";"SPB"
"";"Домашний творог 9% кг ""Домашний""   не фиксирован. вес  ~кг";0.285;;12;1008;28;"КГ";"SPB"
"";"Твороженый сыр 22% ""Домашний"" ,не фиксирован. вес  ~кг";0.325;;10;1000;28;"КГ";"SPB"
"";"Масло сливочное 82% ""Домашнее"" 200г";0.2;;20;3600;40;"ШТ";"SPB"
"";"Плавленый творожный продукт ""Naminė""160г";0.16;;12;1200;60;"ШТ";"SPB"
"";"Йогурт 7% с клубникой ""Naminis"" 140г";0.14;;15;2400;24;"ШТ";"SPB"
"";"Йогурт 7% с черникой ""Naminis"" 140г";0.14;;15;2400;24;"ШТ";"SPB"
"";"Йогурт 7% с клубникой ""Gardus"" 140г";0.14;;15;2400;24;"ШТ";"SPB"
"";"Йогурт 7% с черникой ""Gardus"" 140г";0.14;;15;2400;24;"ШТ";"SPB"
"";"Крем с персиком 5% ""Gardus""; 125г.";0.125;;15;2400;24;"ШТ";"SPB"
"";"Крем с земляникои и малиной 5% ""Gardus""; 125г";0.125;;15;2400;24;"ШТ";"SPB"
"";"Йогурт 2% ""GARDUS"" с сушонами сливами; 250г";0.25;;6;1326;24;"ШТ";"SPB"
"";"Йогурт 2% ""GARDUS"" с сушонами яблоками; 250г";0.25;;6;1326;24;"ШТ";"SPB"
"";"Йогурт 2% ""GARDUS"" с сушонами абрикосами; 250г";0.25;;6;1326;24;"ШТ";"SPB"
"";"Йогурт 2% ""GARDUS"" с клубникой 0,9 кг. Ecol.";0.9;;15;675;24;"ШТ";"SPB"
"";"Йогурт 2% ""GARDUS"" с с черникой и ванилью 0,9 кг. Ecol.";0.9;;15;675;24;"ШТ";"SPB"
"";"Творог обезжиренный 500г ""Литовская коровка""";0.5;;10;500;28;"ШТ";"SPB"
"";"Творог обезжиренный 200г ""Литовская коровка""";0.2;;14;840;28;"ШТ";"SPB"
"";"Домашний творог 9% 500г ""Домашний""";0.5;;10;500;28;"ШТ";"SPB"
"";"Домашний творог 9% 200г ""Домашний""";0.2;;14;840;28;"ШТ";"SPB"
"";"Домашний творог 9% кг ""Домашний""";0.3;;12;720;28;"КГ";"SPB"
"";"Твороженый сыр 22% ""Домашний"" кг";0.3;;;;21;"КГ";"SPB"
"";"Масло сливочное 82% ""Домашнее"" 200г";0.2;;20;1800;40;"ШТ";"SPB"
"";"Плавленый творожный продукт ""Naminė""160г";0.16;;12;1680;60;"ШТ";"SPB"
"";"Йогурт 7% с клубникой ""Naminis"" 140г";0.14;;15;2250;21;"ШТ";"SPB"
"";"Йогурт 7% с черникой ""Naminis"" 140г";0.14;;15;2250;21;"ШТ";"SPB"
"";"Йогурт 7% с клубникой ""Gardus"" 140г";0.14;;15;2250;21;"ШТ";"SPB"
"";"Йогурт 7% с черникой ""Gardus"" 140г";0.14;;15;2250;21;"ШТ";"SPB"
"";"Крем с персиком 5% ""Gardus""; 125г.";0.125;;15;2250;21;"ШТ";"SPB"
"";"Крем с земляникои и малиной 5% ""Gardus""; 125г";0.125;;15;2250;21;"ШТ";"SPB"
"";"Йогурт 2% ""GARDUS"" с сушонами сливами; 250г";0.25;;6;900;21;"ШТ";"SPB"
"";"Йогурт 2% ""GARDUS"" с сушонами яблоками; 250г";0.25;;6;900;21;"ШТ";"SPB"
"";"Йогурт 2% ""GARDUS"" с сушонами абрикосами; 250г";0.25;;6;900;21;"ШТ";"SPB"
"";"Йогурт 2% ""GARDUS"" с клубникой 0,9 кг. Ecol.";0.9;;15;720;21;"ШТ";"SPB"
"";"Йогурт 2% ""GARDUS"" с персиками 0,9 кг. Ecol.";0.9;;15;720;21;"ШТ";"SPB"
"";"Йогурт 2% ""GARDUS"" с сливами 0,9 кг. Ecol.";0.9;;15;720;21;"ШТ";"SPB"
"";"Йогурт 2% ""GARDUS"" с с черникой и ванилью 0,9 кг. Ecol.";0.9;;15;720;21;"ШТ";"SPB"
"";"Йогурт 2% ""GARDUS"" с клубникой  0,9 кг.  Ecol.";0.9;;8;84;28;"";"SPB"
"";"Йогурт 2% ""GARDUS"" с  с черникой и ванилью 0,9 кг.  Ecol.";0.9;;8;84;28;"";"SPB"
"";"Йогурт 7% с клубникой  ""Gardus"" 140г";0.14;;9;228;28;"";"SPB"
"";"Йогурт 7% с черникой ""Gardus"" 140г";0.14;;9;228;28;"";"SPB"
"";"Йогурт 2% ""GARDUS"" с сушоными абрикосами; 250г";0.25;;6;208;28;"";"SPB"
"";"Йогурт 2% ""GARDUS"" с сушоными сливами; 250г";0.25;;6;208;28;"";"SPB"
"";"Йогурт 2% ""GARDUS"" с сушоными яблоками; 250г";0.25;;6;208;28;"";"SPB"
"";"Крем с клубникой и малиной 5%  ""Gardus""; 125г";0.125;;9;228;28;"";"SPB"
"";"Крем с персиком 5%  ""Gardus""; 125г.";0.125;;9;228;28;"";"SPB"
"";" Масло сливочное 82,5% ""Домашнее"" 200г";0.2;;20;126;40;"";"SPB"
"";" Масло сливочное 82,5% ""Рокишкио Тикрас"" 200г";0.2;;20;126;40;"";"SPB"
"";"Домашний творог  9% 200г ""Домашний""";0.2;;14;70;28;"";"SPB"
"";"Домашний творог  9% 500г ""Домашний""";0.5;;10;55;28;"";"SPB"
"";"Творог обезжиренный  200г ""Рокишкио Тикрас""";0.2;;14;80;28;"";"SPB"
"";"Творог обезжиренный  400г ""Рокишкио Тикрас""";0.4;;10;55;28;"";"SPB"
"";"Творог 9%   200г ""Рокишкио Тикрас""";0.2;;14;70;28;"";"SPB"
"";"Творог 9%   300г ""Рокишкио Тикрас""";0.3;;12;96;28;"";"SPB"
"";"Творог 9%   400г ""Рокишкио Тикрас""";0.4;;10;55;28;"";"SPB"
"";"Творог 5%   200г ""Рокишкио Тикрас""";0.2;;14;80;28;"";"SPB"
"";"Творог 5%   400г ""Рокишкио Тикрас""";0.4;;10;55;28;"";"SPB"
"";"Творожный  сырок  пломбирный 7%, 100 г ""Рокишкио Тикрас""";0.1;;18;200;21;"";"SPB"
"";"Творожн. сырок с  гущ. молоком 7%,100 г ""Рокишкио Тикрас""";0.1;;18;200;21;"";"SPB"
"";"Творожн.сырок с сладк.клубникой7%,100 г""Рокишкио Тикрас""";0.1;;18;200;21;"";"SPB"
